DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	17q21.31	17	45793781	NR	LINC02210-CRHR1, CRHR1			ENSG00000263715, ENSG00000120088			rs12944712-A	rs12944712	0	12944712	intron_variant	0	0.465863776253094	2E-9	8.698970004336019		0.011895811	[0.008-0.0158] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	17q21.31	17	46709946	NR	NSF			ENSG00000073969			rs1378358-T	rs1378358	0	1378358	intron_variant	0	0.217292507620124	2E-18	17.69897000433602		0.019632332	[0.015-0.024] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	1p31.1	1	74850710	NR	TYW3 - LHX8	ENSG00000162623	ENSG00000162624		84032	277724	rs77214504-T	rs77214504	0	77214504	intergenic_variant	1	0.0453987585338157	4E-9	8.397940008672037		0.020690514	[0.014-0.028] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	1p31.1	1	75128151	NR	TYW3 - LHX8	ENSG00000162623	ENSG00000162624		361473	283	rs17622606-A	rs17622606	0	17622606	non_coding_transcript_exon_variant	1	0.0465583732007492	1E-9	9.0		0.021157693	[0.014-0.028] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	1p31.1	1	75464629	NR	SLC44A5			ENSG00000137968			rs116362708-A	rs116362708	0	116362708	intron_variant	0	0.0457750631736347	3E-8	7.522878745280337		0.019487385	[0.013-0.026] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	17q23.2	17	62717713	NR	MARCHF10			ENSG00000173838			rs4968736-G	rs4968736	0	4968736	intron_variant	0	0.358654353900192	4E-8	7.3979400086720375		0.008379169	[0.0054-0.0114] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	17q25.3	17	81123969	NR	AATK			ENSG00000181409			rs66530963-G	rs66530963	0	66530963	intron_variant	0	0.149211419072932	6E-15	14.221848749616356		0.01609482	[0.012-0.02] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	18q12.1	18	28732377	NR	ARIH2P1 - RNU6-408P	ENSG00000266296	ENSG00000251719		79169	316243	rs12960889-C	rs12960889	0	12960889	intron_variant	1	0.568074069026736	3E-9	8.522878745280337		0.008764957	[0.0059-0.0117] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	18q12.1	18	28990620	NR	ARIH2P1 - RNU6-408P	ENSG00000266296	ENSG00000251719		337412	58000	rs7243332-G	rs7243332	0	7243332	intergenic_variant	1	0.305578541661217	2E-10	9.698970004336019		0.010150131	[0.007-0.0133] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	18q12.1	18	33782363	NR	ASXL3 - NOL4	ENSG00000141431	ENSG00000101746		31168	68737	rs1493914-T	rs1493914	0	1493914	intergenic_variant	1	0.513492656851565	2E-11	10.698970004336019		0.010032487	[0.0071-0.013] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
